# 16O_NNLOsat_PRC101_014318.dat from vittorio.soma@cea.fr 
# r[fm] rho_matter rho_proton rho_neutron rho_charge[fm-3]
4.70 0.00167213 0.00086853 0.00080360 0.00112891 
4.71 0.00163368 0.00084881 0.00078487 0.00110482 
4.72 0.00159610 0.00082953 0.00076657 0.00108122 
4.73 0.00155936 0.00081068 0.00074868 0.00105811 
4.74 0.00152346 0.00079226 0.00073121 0.00103546 
4.75 0.00148838 0.00077424 0.00071413 0.00101329 
4.76 0.00145409 0.00075664 0.00069745 0.00099157 
4.77 0.00142058 0.00073943 0.00068115 0.00097030 
4.78 0.00138784 0.00072260 0.00066523 0.00094947 
4.79 0.00135584 0.00070616 0.00064968 0.00092907 
4.80 0.00132457 0.00069009 0.00063448 0.00090909 
4.81 0.00129403 0.00067438 0.00061964 0.00088953 
4.82 0.00126418 0.00065903 0.00060514 0.00087038 
4.83 0.00123501 0.00064403 0.00059098 0.00085162 
4.84 0.00120652 0.00062937 0.00057715 0.00083326 
4.85 0.00117868 0.00061504 0.00056364 0.00081528 
4.86 0.00115149 0.00060104 0.00055044 0.00079768 
4.87 0.00112492 0.00058736 0.00053756 0.00078045 
4.88 0.00109897 0.00057400 0.00052497 0.00076358 
4.89 0.00107361 0.00056093 0.00051268 0.00074706 
4.90 0.00104885 0.00054817 0.00050067 0.00073089 
4.91 0.00102465 0.00053570 0.00048895 0.00071507 
4.92 0.00100102 0.00052352 0.00047750 0.00069958 
4.93 0.00097794 0.00051161 0.00046632 0.00068442 
4.94 0.00095539 0.00049998 0.00045541 0.00066958 
4.95 0.00093337 0.00048862 0.00044475 0.00065505 
4.96 0.00091186 0.00047752 0.00043434 0.00064083 
4.97 0.00089085 0.00046667 0.00042418 0.00062692 
4.98 0.00087033 0.00045607 0.00041425 0.00061330 
4.99 0.00085029 0.00044572 0.00040457 0.00059997 
5.00 0.00083072 0.00043561 0.00039511 0.00058693 
5.01 0.00081160 0.00042573 0.00038587 0.00057417 
5.02 0.00079293 0.00041608 0.00037685 0.00056168 
5.03 0.00077470 0.00040665 0.00036805 0.00054946 
5.04 0.00075690 0.00039745 0.00035945 0.00053750 
5.05 0.00073951 0.00038845 0.00035106 0.00052580 
5.06 0.00072253 0.00037966 0.00034287 0.00051435 
5.07 0.00070595 0.00037108 0.00033487 0.00050315 
5.08 0.00068975 0.00036269 0.00032706 0.00049218 
5.09 0.00067394 0.00035450 0.00031944 0.00048146 
5.10 0.00065849 0.00034650 0.00031199 0.00047097 
5.11 0.00064341 0.00033869 0.00030473 0.00046070 
5.12 0.00062869 0.00033105 0.00029764 0.00045065 
5.13 0.00061431 0.00032359 0.00029071 0.00044083 
5.14 0.00060026 0.00031631 0.00028395 0.00043121 
5.15 0.00058655 0.00030920 0.00027735 0.00042181 
5.16 0.00057316 0.00030225 0.00027091 0.00041261 
5.17 0.00056008 0.00029546 0.00026462 0.00040361 
5.18 0.00054731 0.00028883 0.00025848 0.00039480 
5.19 0.00053484 0.00028235 0.00025249 0.00038619 
5.20 0.00052266 0.00027602 0.00024664 0.00037776 
5.21 0.00051077 0.00026984 0.00024093 0.00036952 
5.22 0.00049915 0.00026380 0.00023535 0.00036146 
5.23 0.00048781 0.00025791 0.00022991 0.00035357 
5.24 0.00047674 0.00025214 0.00022459 0.00034585 
5.25 0.00046592 0.00024652 0.00021941 0.00033831 
5.26 0.00045536 0.00024102 0.00021434 0.00033093 
5.27 0.00044505 0.00023565 0.00020940 0.00032371 
5.28 0.00043498 0.00023040 0.00020457 0.00031664 
5.29 0.00042514 0.00022528 0.00019986 0.00030974 
5.30 0.00041553 0.00022027 0.00019526 0.00030298 
5.31 0.00040615 0.00021538 0.00019077 0.00029637 
5.32 0.00039699 0.00021060 0.00018638 0.00028991 
5.33 0.00038804 0.00020594 0.00018210 0.00028358 
5.34 0.00037930 0.00020138 0.00017792 0.00027740 
5.35 0.00037076 0.00019692 0.00017384 0.00027135 
5.36 0.00036243 0.00019257 0.00016986 0.00026544 
5.37 0.00035428 0.00018831 0.00016597 0.00025965 
5.38 0.00034633 0.00018416 0.00016217 0.00025399 
5.39 0.00033856 0.00018010 0.00015846 0.00024845 
5.40 0.00033097 0.00017613 0.00015484 0.00024304 
5.41 0.00032356 0.00017226 0.00015131 0.00023775 
5.42 0.00031632 0.00016847 0.00014785 0.00023257 
5.43 0.00030925 0.00016477 0.00014448 0.00022750 
5.44 0.00030234 0.00016115 0.00014119 0.00022255 
5.45 0.00029559 0.00015762 0.00013798 0.00021770 
5.46 0.00028900 0.00015416 0.00013484 0.00021296 
5.47 0.00028256 0.00015079 0.00013177 0.00020833 
5.48 0.00027627 0.00014749 0.00012878 0.00020379 
5.49 0.00027012 0.00014426 0.00012586 0.00019936 
5.50 0.00026411 0.00014111 0.00012300 0.00019502 
5.51 0.00025824 0.00013803 0.00012021 0.00019078 
5.52 0.00025251 0.00013502 0.00011749 0.00018663 
5.53 0.00024691 0.00013208 0.00011483 0.00018257 
5.54 0.00024143 0.00012920 0.00011223 0.00017860 
5.55 0.00023608 0.00012639 0.00010969 0.00017472 
5.56 0.00023085 0.00012364 0.00010721 0.00017092 
5.57 0.00022574 0.00012096 0.00010479 0.00016721 
5.58 0.00022075 0.00011833 0.00010242 0.00016358 
5.59 0.00021587 0.00011576 0.00010011 0.00016002 
5.60 0.00021110 0.00011325 0.00009785 0.00015655 
5.61 0.00020644 0.00011079 0.00009565 0.00015315 
5.62 0.00020189 0.00010839 0.00009349 0.00014982 
5.63 0.00019743 0.00010605 0.00009139 0.00014657 
5.64 0.00019308 0.00010375 0.00008933 0.00014339 
5.65 0.00018883 0.00010151 0.00008732 0.00014027 
5.66 0.00018467 0.00009931 0.00008536 0.00013723 
5.67 0.00018060 0.00009716 0.00008344 0.00013425 
5.68 0.00017663 0.00009507 0.00008156 0.00013134 
5.69 0.00017274 0.00009301 0.00007973 0.00012849 
5.70 0.00016894 0.00009100 0.00007794 0.00012570 
5.71 0.00016523 0.00008904 0.00007619 0.00012297 
5.72 0.00016160 0.00008712 0.00007448 0.00012030 
5.73 0.00015805 0.00008524 0.00007281 0.00011769 
5.74 0.00015457 0.00008340 0.00007117 0.00011514 
5.75 0.00015118 0.00008160 0.00006958 0.00011264 
5.76 0.00014786 0.00007984 0.00006802 0.00011020 
5.77 0.00014461 0.00007812 0.00006649 0.00010781 
5.78 0.00014144 0.00007644 0.00006500 0.00010547 
5.79 0.00013833 0.00007479 0.00006354 0.00010318 
5.80 0.00013529 0.00007318 0.00006212 0.00010094 
5.81 0.00013232 0.00007160 0.00006072 0.00009875 
5.82 0.00012941 0.00007005 0.00005936 0.00009661 
5.83 0.00012657 0.00006854 0.00005803 0.00009451 
5.84 0.00012379 0.00006706 0.00005673 0.00009246 
5.85 0.00012107 0.00006562 0.00005545 0.00009045 
5.86 0.00011841 0.00006420 0.00005421 0.00008849 
5.87 0.00011581 0.00006281 0.00005299 0.00008656 
5.88 0.00011326 0.00006146 0.00005180 0.00008468 
5.89 0.00011077 0.00006013 0.00005064 0.00008284 
5.90 0.00010833 0.00005883 0.00004950 0.00008104 
5.91 0.00010594 0.00005756 0.00004839 0.00007928 
5.92 0.00010361 0.00005631 0.00004730 0.00007756 
5.93 0.00010132 0.00005509 0.00004623 0.00007587 
5.94 0.00009909 0.00005390 0.00004519 0.00007422 
5.95 0.00009690 0.00005273 0.00004417 0.00007260 
5.96 0.00009476 0.00005159 0.00004318 0.00007102 
5.97 0.00009267 0.00005047 0.00004220 0.00006948 
5.98 0.00009062 0.00004937 0.00004125 0.00006796 
5.99 0.00008861 0.00004830 0.00004032 0.00006648 
6.00 0.00008665 0.00004724 0.00003941 0.00006503 
6.01 0.00008473 0.00004621 0.00003851 0.00006361 
6.02 0.00008285 0.00004521 0.00003764 0.00006222 
6.03 0.00008101 0.00004422 0.00003679 0.00006086 
6.04 0.00007921 0.00004325 0.00003595 0.00005953 
6.05 0.00007744 0.00004231 0.00003514 0.00005823 
6.06 0.00007572 0.00004138 0.00003434 0.00005695 
6.07 0.00007403 0.00004047 0.00003355 0.00005571 
6.08 0.00007237 0.00003958 0.00003279 0.00005449 
6.09 0.00007075 0.00003871 0.00003204 0.00005329 
6.10 0.00006917 0.00003786 0.00003131 0.00005212 
6.11 0.00006762 0.00003702 0.00003059 0.00005098 
6.12 0.00006610 0.00003621 0.00002989 0.00004986 
6.13 0.00006461 0.00003540 0.00002921 0.00004876 
6.14 0.00006316 0.00003462 0.00002854 0.00004769 
6.15 0.00006173 0.00003385 0.00002788 0.00004663 
6.16 0.00006034 0.00003310 0.00002724 0.00004561 
6.17 0.00005897 0.00003236 0.00002661 0.00004460 
6.18 0.00005763 0.00003164 0.00002599 0.00004361 
6.19 0.00005632 0.00003093 0.00002539 0.00004265 
6.20 0.00005504 0.00003024 0.00002480 0.00004171 
6.21 0.00005379 0.00002956 0.00002423 0.00004078 
6.22 0.00005256 0.00002890 0.00002366 0.00003988 
6.23 0.00005136 0.00002825 0.00002311 0.00003899 
6.24 0.00005018 0.00002761 0.00002257 0.00003812 
6.25 0.00004903 0.00002698 0.00002204 0.00003728 
6.26 0.00004790 0.00002637 0.00002153 0.00003645 
6.27 0.00004680 0.00002577 0.00002102 0.00003563 
6.28 0.00004571 0.00002519 0.00002053 0.00003484 
6.29 0.00004466 0.00002461 0.00002004 0.00003406 
6.30 0.00004362 0.00002405 0.00001957 0.00003329 
6.31 0.00004260 0.00002350 0.00001911 0.00003255 
6.32 0.00004161 0.00002296 0.00001865 0.00003182 
6.33 0.00004064 0.00002243 0.00001821 0.00003110 
6.34 0.00003969 0.00002191 0.00001778 0.00003040 
6.35 0.00003876 0.00002140 0.00001735 0.00002972 
6.36 0.00003784 0.00002091 0.00001694 0.00002905 
6.37 0.00003695 0.00002042 0.00001653 0.00002839 
6.38 0.00003608 0.00001994 0.00001613 0.00002775 
6.39 0.00003522 0.00001948 0.00001574 0.00002712 
6.40 0.00003438 0.00001902 0.00001536 0.00002650 
6.41 0.00003357 0.00001857 0.00001499 0.00002590 
6.42 0.00003276 0.00001814 0.00001463 0.00002531 
6.43 0.00003198 0.00001771 0.00001427 0.00002473 
6.44 0.00003121 0.00001729 0.00001392 0.00002417 
6.45 0.00003046 0.00001688 0.00001358 0.00002361 
6.46 0.00002972 0.00001647 0.00001325 0.00002307 
6.47 0.00002900 0.00001608 0.00001292 0.00002254 
6.48 0.00002830 0.00001569 0.00001260 0.00002202 
6.49 0.00002761 0.00001532 0.00001229 0.00002152 
6.50 0.00002694 0.00001495 0.00001199 0.00002102 
6.51 0.00002628 0.00001459 0.00001169 0.00002053 
6.52 0.00002563 0.00001423 0.00001140 0.00002006 
6.53 0.00002500 0.00001389 0.00001111 0.00001959 
6.54 0.00002438 0.00001355 0.00001083 0.00001914 
6.55 0.00002378 0.00001321 0.00001056 0.00001869 
6.56 0.00002318 0.00001289 0.00001029 0.00001826 
6.57 0.00002261 0.00001257 0.00001003 0.00001783 
6.58 0.00002204 0.00001226 0.00000978 0.00001741 
6.59 0.00002149 0.00001196 0.00000953 0.00001700 
6.60 0.00002095 0.00001166 0.00000929 0.00001660 
6.61 0.00002042 0.00001137 0.00000905 0.00001621 
6.62 0.00001990 0.00001108 0.00000882 0.00001583 
6.63 0.00001939 0.00001080 0.00000859 0.00001545 
6.64 0.00001890 0.00001053 0.00000837 0.00001509 
6.65 0.00001842 0.00001027 0.00000815 0.00001473 
6.66 0.00001794 0.00001000 0.00000794 0.00001438 
6.67 0.00001748 0.00000975 0.00000773 0.00001404 
6.68 0.00001703 0.00000950 0.00000753 0.00001370 
6.69 0.00001659 0.00000926 0.00000733 0.00001337 
6.70 0.00001616 0.00000902 0.00000714 0.00001305 
6.71 0.00001574 0.00000879 0.00000695 0.00001274 
6.72 0.00001532 0.00000856 0.00000677 0.00001243 
6.73 0.00001492 0.00000833 0.00000659 0.00001213 
6.74 0.00001453 0.00000812 0.00000641 0.00001184 
6.75 0.00001414 0.00000790 0.00000624 0.00001155 
6.76 0.00001377 0.00000770 0.00000607 0.00001127 
6.77 0.00001340 0.00000749 0.00000591 0.00001099 
6.78 0.00001304 0.00000729 0.00000575 0.00001072 
6.79 0.00001269 0.00000710 0.00000559 0.00001046 
6.80 0.00001235 0.00000691 0.00000544 0.00001020 
6.81 0.00001202 0.00000673 0.00000529 0.00000995 
6.82 0.00001169 0.00000655 0.00000515 0.00000971 
6.83 0.00001137 0.00000637 0.00000500 0.00000947 
6.84 0.00001106 0.00000620 0.00000487 0.00000923 
6.85 0.00001076 0.00000603 0.00000473 0.00000900 
6.86 0.00001046 0.00000586 0.00000460 0.00000878 
6.87 0.00001017 0.00000570 0.00000447 0.00000856 
6.88 0.00000989 0.00000555 0.00000435 0.00000835 
6.89 0.00000962 0.00000539 0.00000422 0.00000814 
6.90 0.00000935 0.00000524 0.00000411 0.00000793 
6.91 0.00000909 0.00000510 0.00000399 0.00000773 
6.92 0.00000883 0.00000496 0.00000388 0.00000754 
6.93 0.00000858 0.00000482 0.00000377 0.00000735 
6.94 0.00000834 0.00000468 0.00000366 0.00000716 
6.95 0.00000810 0.00000455 0.00000355 0.00000698 
6.96 0.00000787 0.00000442 0.00000345 0.00000680 
6.97 0.00000765 0.00000430 0.00000335 0.00000663 
6.98 0.00000743 0.00000417 0.00000325 0.00000646 
6.99 0.00000721 0.00000405 0.00000316 0.00000629 
7.00 0.00000700 0.00000394 0.00000307 0.00000613 
7.01 0.00000680 0.00000382 0.00000298 0.00000597 
7.02 0.00000660 0.00000371 0.00000289 0.00000582 
7.03 0.00000641 0.00000361 0.00000280 0.00000567 
7.04 0.00000622 0.00000350 0.00000272 0.00000552 
7.05 0.00000604 0.00000340 0.00000264 0.00000538 
7.06 0.00000586 0.00000330 0.00000256 0.00000524 
7.07 0.00000569 0.00000320 0.00000248 0.00000510 
7.08 0.00000552 0.00000311 0.00000241 0.00000496 
7.09 0.00000535 0.00000301 0.00000234 0.00000483 
7.10 0.00000519 0.00000292 0.00000227 0.00000471 
7.11 0.00000503 0.00000284 0.00000220 0.00000458 
7.12 0.00000488 0.00000275 0.00000213 0.00000446 
7.13 0.00000473 0.00000267 0.00000207 0.00000434 
7.14 0.00000459 0.00000259 0.00000200 0.00000423 
7.15 0.00000445 0.00000251 0.00000194 0.00000411 
7.16 0.00000431 0.00000243 0.00000188 0.00000400 
7.17 0.00000418 0.00000236 0.00000182 0.00000390 
7.18 0.00000405 0.00000229 0.00000177 0.00000379 
7.19 0.00000392 0.00000221 0.00000171 0.00000369 
7.20 0.00000380 0.00000215 0.00000166 0.00000359 
7.21 0.00000368 0.00000208 0.00000160 0.00000349 
7.22 0.00000357 0.00000201 0.00000155 0.00000340 
7.23 0.00000346 0.00000195 0.00000150 0.00000330 
7.24 0.00000335 0.00000189 0.00000146 0.00000321 
7.25 0.00000324 0.00000183 0.00000141 0.00000313 
7.26 0.00000314 0.00000177 0.00000136 0.00000304 
7.27 0.00000304 0.00000172 0.00000132 0.00000296 
7.28 0.00000294 0.00000166 0.00000128 0.00000288 
7.29 0.00000284 0.00000161 0.00000124 0.00000280 
7.30 0.00000275 0.00000156 0.00000120 0.00000272 
7.31 0.00000266 0.00000151 0.00000116 0.00000264 
7.32 0.00000258 0.00000146 0.00000112 0.00000257 
7.33 0.00000249 0.00000141 0.00000108 0.00000250 
7.34 0.00000241 0.00000136 0.00000105 0.00000243 
7.35 0.00000233 0.00000132 0.00000101 0.00000236 
7.36 0.00000225 0.00000128 0.00000098 0.00000229 
7.37 0.00000218 0.00000123 0.00000095 0.00000223 
7.38 0.00000211 0.00000119 0.00000091 0.00000217 
7.39 0.00000204 0.00000115 0.00000088 0.00000210 
7.40 0.00000197 0.00000111 0.00000085 0.00000205 
7.41 0.00000190 0.00000108 0.00000083 0.00000199 
7.42 0.00000184 0.00000104 0.00000080 0.00000193 
7.43 0.00000178 0.00000101 0.00000077 0.00000188 
7.44 0.00000172 0.00000097 0.00000074 0.00000182 
7.45 0.00000166 0.00000094 0.00000072 0.00000177 
7.46 0.00000160 0.00000091 0.00000069 0.00000172 
7.47 0.00000155 0.00000088 0.00000067 0.00000167 
7.48 0.00000149 0.00000085 0.00000065 0.00000162 
7.49 0.00000144 0.00000082 0.00000062 0.00000157 
7.50 0.00000139 0.00000079 0.00000060 0.00000153 
7.51 0.00000134 0.00000076 0.00000058 0.00000148 
7.52 0.00000130 0.00000073 0.00000056 0.00000144 
7.53 0.00000125 0.00000071 0.00000054 0.00000140 
7.54 0.00000121 0.00000068 0.00000052 0.00000136 
7.55 0.00000116 0.00000066 0.00000050 0.00000132 
7.56 0.00000112 0.00000064 0.00000049 0.00000128 
7.57 0.00000108 0.00000061 0.00000047 0.00000124 
7.58 0.00000104 0.00000059 0.00000045 0.00000120 
7.59 0.00000101 0.00000057 0.00000043 0.00000117 
7.60 0.00000097 0.00000055 0.00000042 0.00000113 
7.61 0.00000093 0.00000053 0.00000040 0.00000110 
7.62 0.00000090 0.00000051 0.00000039 0.00000107 
7.63 0.00000087 0.00000049 0.00000037 0.00000104 
7.64 0.00000084 0.00000048 0.00000036 0.00000100 
7.65 0.00000081 0.00000046 0.00000035 0.00000097 
7.66 0.00000078 0.00000044 0.00000034 0.00000094 
7.67 0.00000075 0.00000042 0.00000032 0.00000092 
7.68 0.00000072 0.00000041 0.00000031 0.00000089 
7.69 0.00000069 0.00000039 0.00000030 0.00000086 
7.70 0.00000067 0.00000038 0.00000029 0.00000084 
7.71 0.00000064 0.00000037 0.00000028 0.00000081 
7.72 0.00000062 0.00000035 0.00000027 0.00000079 
7.73 0.00000060 0.00000034 0.00000026 0.00000076 
7.74 0.00000057 0.00000033 0.00000025 0.00000074 
7.75 0.00000055 0.00000031 0.00000024 0.00000072 
7.76 0.00000053 0.00000030 0.00000023 0.00000069 
7.77 0.00000051 0.00000029 0.00000022 0.00000067 
7.78 0.00000049 0.00000028 0.00000021 0.00000065 
7.79 0.00000047 0.00000027 0.00000020 0.00000063 
7.80 0.00000045 0.00000026 0.00000020 0.00000061 
7.81 0.00000044 0.00000025 0.00000019 0.00000059 
7.82 0.00000042 0.00000024 0.00000018 0.00000057 
7.83 0.00000040 0.00000023 0.00000017 0.00000056 
7.84 0.00000039 0.00000022 0.00000017 0.00000054 
7.85 0.00000037 0.00000021 0.00000016 0.00000052 
7.86 0.00000036 0.00000020 0.00000015 0.00000051 
7.87 0.00000034 0.00000020 0.00000015 0.00000049 
7.88 0.00000033 0.00000019 0.00000014 0.00000047 
7.89 0.00000032 0.00000018 0.00000014 0.00000046 
7.90 0.00000030 0.00000017 0.00000013 0.00000045 
7.91 0.00000029 0.00000017 0.00000013 0.00000043 
7.92 0.00000028 0.00000016 0.00000012 0.00000042 
7.93 0.00000027 0.00000015 0.00000012 0.00000040 
7.94 0.00000026 0.00000015 0.00000011 0.00000039 
7.95 0.00000025 0.00000014 0.00000011 0.00000038 
7.96 0.00000024 0.00000014 0.00000010 0.00000037 
7.97 0.00000023 0.00000013 0.00000010 0.00000036 
7.98 0.00000022 0.00000012 0.00000009 0.00000034 
7.99 0.00000021 0.00000012 0.00000009 0.00000033 
8.00 0.00000020 0.00000011 0.00000009 0.00000032 
8.01 0.00000019 0.00000011 0.00000008 0.00000031 
8.02 0.00000018 0.00000011 0.00000008 0.00000030 
8.03 0.00000018 0.00000010 0.00000008 0.00000029 
8.04 0.00000017 0.00000010 0.00000007 0.00000028 
8.05 0.00000016 0.00000009 0.00000007 0.00000027 
8.06 0.00000016 0.00000009 0.00000007 0.00000026 
8.07 0.00000015 0.00000009 0.00000006 0.00000026 
8.08 0.00000014 0.00000008 0.00000006 0.00000025 
8.09 0.00000014 0.00000008 0.00000006 0.00000024 
8.10 0.00000013 0.00000007 0.00000006 0.00000023 
8.11 0.00000013 0.00000007 0.00000005 0.00000022 
8.12 0.00000012 0.00000007 0.00000005 0.00000022 
8.13 0.00000012 0.00000007 0.00000005 0.00000021 
8.14 0.00000011 0.00000006 0.00000005 0.00000020 
8.15 0.00000011 0.00000006 0.00000005 0.00000020 
8.16 0.00000010 0.00000006 0.00000004 0.00000019 
8.17 0.00000010 0.00000006 0.00000004 0.00000018 
8.18 0.00000009 0.00000005 0.00000004 0.00000018 
8.19 0.00000009 0.00000005 0.00000004 0.00000017 
8.20 0.00000008 0.00000005 0.00000004 0.00000017 
8.21 0.00000008 0.00000005 0.00000003 0.00000016 
8.22 0.00000008 0.00000004 0.00000003 0.00000015 
8.23 0.00000007 0.00000004 0.00000003 0.00000015 
8.24 0.00000007 0.00000004 0.00000003 0.00000014 
8.25 0.00000007 0.00000004 0.00000003 0.00000014 
8.26 0.00000006 0.00000004 0.00000003 0.00000014 
8.27 0.00000006 0.00000004 0.00000003 0.00000013 
8.28 0.00000006 0.00000003 0.00000003 0.00000013 
8.29 0.00000006 0.00000003 0.00000002 0.00000012 
8.30 0.00000005 0.00000003 0.00000002 0.00000012 
8.31 0.00000005 0.00000003 0.00000002 0.00000011 
8.32 0.00000005 0.00000003 0.00000002 0.00000011 
8.33 0.00000005 0.00000003 0.00000002 0.00000011 
8.34 0.00000004 0.00000003 0.00000002 0.00000010 
8.35 0.00000004 0.00000002 0.00000002 0.00000010 
8.36 0.00000004 0.00000002 0.00000002 0.00000010 
8.37 0.00000004 0.00000002 0.00000002 0.00000009 
8.38 0.00000004 0.00000002 0.00000002 0.00000009 
8.39 0.00000004 0.00000002 0.00000002 0.00000009 
8.40 0.00000003 0.00000002 0.00000001 0.00000008 
8.41 0.00000003 0.00000002 0.00000001 0.00000008 
8.42 0.00000003 0.00000002 0.00000001 0.00000008 
8.43 0.00000003 0.00000002 0.00000001 0.00000008 
8.44 0.00000003 0.00000002 0.00000001 0.00000007 
8.45 0.00000003 0.00000002 0.00000001 0.00000007 
8.46 0.00000003 0.00000001 0.00000001 0.00000007 
8.47 0.00000002 0.00000001 0.00000001 0.00000007 
8.48 0.00000002 0.00000001 0.00000001 0.00000006 
8.49 0.00000002 0.00000001 0.00000001 0.00000006 
8.50 0.00000002 0.00000001 0.00000001 0.00000006 
8.51 0.00000002 0.00000001 0.00000001 0.00000006 
8.52 0.00000002 0.00000001 0.00000001 0.00000005 
8.53 0.00000002 0.00000001 0.00000001 0.00000005 
8.54 0.00000002 0.00000001 0.00000001 0.00000005 
8.55 0.00000002 0.00000001 0.00000001 0.00000005 
8.56 0.00000002 0.00000001 0.00000001 0.00000005 
8.57 0.00000001 0.00000001 0.00000001 0.00000005 
8.58 0.00000001 0.00000001 0.00000001 0.00000004 
8.59 0.00000001 0.00000001 0.00000001 0.00000004 
8.60 0.00000001 0.00000001 0.00000001 0.00000004 
8.61 0.00000001 0.00000001 0.00000001 0.00000004 
8.62 0.00000001 0.00000001 0.00000000 0.00000004 
8.63 0.00000001 0.00000001 0.00000000 0.00000004 
8.64 0.00000001 0.00000001 0.00000000 0.00000004 
8.65 0.00000001 0.00000001 0.00000000 0.00000003 
8.66 0.00000001 0.00000001 0.00000000 0.00000003 
8.67 0.00000001 0.00000001 0.00000000 0.00000003 
8.68 0.00000001 0.00000000 0.00000000 0.00000003 
8.69 0.00000001 0.00000000 0.00000000 0.00000003 
8.70 0.00000001 0.00000000 0.00000000 0.00000003 
8.71 0.00000001 0.00000000 0.00000000 0.00000003 
8.72 0.00000001 0.00000000 0.00000000 0.00000003 
8.73 0.00000001 0.00000000 0.00000000 0.00000003 
8.74 0.00000001 0.00000000 0.00000000 0.00000002 
8.75 0.00000001 0.00000000 0.00000000 0.00000002 
8.76 0.00000001 0.00000000 0.00000000 0.00000002 
8.77 0.00000001 0.00000000 0.00000000 0.00000002 
8.78 0.00000001 0.00000000 0.00000000 0.00000002 
8.79 0.00000000 0.00000000 0.00000000 0.00000002 
8.80 0.00000000 0.00000000 0.00000000 0.00000002 
8.81 0.00000000 0.00000000 0.00000000 0.00000002 
8.82 0.00000000 0.00000000 0.00000000 0.00000002 
8.83 0.00000000 0.00000000 0.00000000 0.00000002 
8.84 0.00000000 0.00000000 0.00000000 0.00000002 
8.85 0.00000000 0.00000000 0.00000000 0.00000002 
8.86 0.00000000 0.00000000 0.00000000 0.00000002 
8.87 0.00000000 0.00000000 0.00000000 0.00000002 
8.88 0.00000000 0.00000000 0.00000000 0.00000001 
8.89 0.00000000 0.00000000 0.00000000 0.00000001 
8.90 0.00000000 0.00000000 0.00000000 0.00000001 
8.91 0.00000000 0.00000000 0.00000000 0.00000001 
8.92 0.00000000 0.00000000 0.00000000 0.00000001 
8.93 0.00000000 0.00000000 0.00000000 0.00000001 
8.94 0.00000000 0.00000000 0.00000000 0.00000001 
8.95 0.00000000 0.00000000 0.00000000 0.00000001 
8.96 0.00000000 0.00000000 0.00000000 0.00000001 
8.97 0.00000000 0.00000000 0.00000000 0.00000001 
8.98 0.00000000 0.00000000 0.00000000 0.00000001 
8.99 0.00000000 0.00000000 0.00000000 0.00000001 
9.00 0.00000000 0.00000000 0.00000000 0.00000001 
9.01 0.00000000 0.00000000 0.00000000 0.00000001 
9.02 0.00000000 0.00000000 0.00000000 0.00000001 
9.03 0.00000000 0.00000000 0.00000000 0.00000001 
9.04 0.00000000 0.00000000 0.00000000 0.00000001 
9.05 0.00000000 0.00000000 0.00000000 0.00000001 
9.06 0.00000000 0.00000000 0.00000000 0.00000001 
9.07 0.00000000 0.00000000 0.00000000 0.00000001 
9.08 0.00000000 0.00000000 0.00000000 0.00000001 
9.09 0.00000000 0.00000000 0.00000000 0.00000001 
9.10 0.00000000 0.00000000 0.00000000 0.00000001 
9.11 0.00000000 0.00000000 0.00000000 0.00000001 
9.12 0.00000000 0.00000000 0.00000000 0.00000001 
9.13 0.00000000 0.00000000 0.00000000 0.00000001 
9.14 0.00000000 0.00000000 0.00000000 0.00000001 
9.15 0.00000000 0.00000000 0.00000000 0.00000001 
9.16 0.00000000 0.00000000 0.00000000 0.00000001 
9.17 0.00000000 0.00000000 0.00000000 0.00000000 
9.18 0.00000000 0.00000000 0.00000000 0.00000000 
9.19 0.00000000 0.00000000 0.00000000 0.00000000 
9.20 0.00000000 0.00000000 0.00000000 0.00000000 
9.21 0.00000000 0.00000000 0.00000000 0.00000000 
9.22 0.00000000 0.00000000 0.00000000 0.00000000 
9.23 0.00000000 0.00000000 0.00000000 0.00000000 
9.24 0.00000000 0.00000000 0.00000000 0.00000000 
9.25 0.00000000 0.00000000 0.00000000 0.00000000 
9.26 0.00000000 0.00000000 0.00000000 0.00000000 
9.27 0.00000000 0.00000000 0.00000000 0.00000000 
9.28 0.00000000 0.00000000 0.00000000 0.00000000 
9.29 0.00000000 0.00000000 0.00000000 0.00000000 
9.30 0.00000000 0.00000000 0.00000000 0.00000000 
9.31 0.00000000 0.00000000 0.00000000 0.00000000 
9.32 0.00000000 0.00000000 0.00000000 0.00000000 
9.33 0.00000000 0.00000000 0.00000000 0.00000000 
9.34 0.00000000 0.00000000 0.00000000 0.00000000 
9.35 0.00000000 0.00000000 0.00000000 0.00000000 
9.36 0.00000000 0.00000000 0.00000000 0.00000000 
9.37 0.00000000 0.00000000 0.00000000 0.00000000 
9.38 0.00000000 0.00000000 0.00000000 0.00000000 
9.39 0.00000000 0.00000000 0.00000000 0.00000000 
9.40 0.00000000 0.00000000 0.00000000 0.00000000 
9.41 0.00000000 0.00000000 0.00000000 0.00000000 
9.42 0.00000000 0.00000000 0.00000000 0.00000000 
9.43 0.00000000 0.00000000 0.00000000 0.00000000 
9.44 0.00000000 0.00000000 0.00000000 0.00000000 
9.45 0.00000000 0.00000000 0.00000000 0.00000000 
9.46 0.00000000 0.00000000 0.00000000 0.00000000 
9.47 0.00000000 0.00000000 0.00000000 0.00000000 
9.48 0.00000000 0.00000000 0.00000000 0.00000000 
9.49 0.00000000 0.00000000 0.00000000 0.00000000 
